"","DateTime","SubMet_Part","SubMet_Energy","year","month"
"1",2007-01-01,"Kitchen",5857,2007,1
"2",2007-01-08,"Kitchen",13420,2007,1
"3",2007-01-15,"Kitchen",23435,2007,1
"4",2007-01-22,"Kitchen",11475,2007,1
"5",2007-01-29,"Kitchen",11553,2007,1
"6",2007-02-05,"Kitchen",15107,2007,2
"7",2007-02-12,"Kitchen",14542,2007,2
"8",2007-02-19,"Kitchen",8628,2007,2
"9",2007-02-26,"Kitchen",1476,2007,2
"10",2007-03-05,"Kitchen",19016,2007,3
"11",2007-03-12,"Kitchen",16116,2007,3
"12",2007-03-19,"Kitchen",18163,2007,3
"13",2007-03-26,"Kitchen",12382,2007,3
"14",2007-04-02,"Kitchen",11944,2007,4
"15",2007-04-09,"Kitchen",1161,2007,4
"16",2007-04-16,"Kitchen",17154,2007,4
"17",2007-04-23,"Kitchen",16274,2007,4
"18",2007-04-30,"Kitchen",15251,2007,4
"19",2007-05-07,"Kitchen",18506,2007,5
"20",2007-05-14,"Kitchen",16600,2007,5
"21",2007-05-21,"Kitchen",22195,2007,5
"22",2007-05-28,"Kitchen",13726,2007,5
"23",2007-06-04,"Kitchen",16652,2007,6
"24",2007-06-11,"Kitchen",15843,2007,6
"25",2007-06-18,"Kitchen",5651,2007,6
"26",2007-06-25,"Kitchen",12973,2007,6
"27",2007-07-02,"Kitchen",12289,2007,7
"28",2007-07-09,"Kitchen",7578,2007,7
"29",2007-07-16,"Kitchen",14202,2007,7
"30",2007-07-23,"Kitchen",3719,2007,7
"31",2007-07-30,"Kitchen",8117,2007,7
"32",2007-08-06,"Kitchen",4406,2007,8
"33",2007-08-13,"Kitchen",4552,2007,8
"34",2007-08-20,"Kitchen",15436,2007,8
"35",2007-08-27,"Kitchen",13748,2007,8
"36",2007-09-03,"Kitchen",13018,2007,9
"37",2007-09-10,"Kitchen",12788,2007,9
"38",2007-09-17,"Kitchen",10778,2007,9
"39",2007-09-24,"Kitchen",11033,2007,9
"40",2007-10-01,"Kitchen",11225,2007,10
"41",2007-10-08,"Kitchen",12507,2007,10
"42",2007-10-15,"Kitchen",9601,2007,10
"43",2007-10-22,"Kitchen",8378,2007,10
"44",2007-10-29,"Kitchen",1346,2007,10
"45",2007-11-05,"Kitchen",16269,2007,11
"46",2007-11-12,"Kitchen",14437,2007,11
"47",2007-11-19,"Kitchen",13408.5,2007,11
"48",2007-11-26,"Kitchen",16810,2007,11
"49",2007-12-03,"Kitchen",16094,2007,12
"50",2007-12-10,"Kitchen",10503,2007,12
"51",2007-12-17,"Kitchen",12832,2007,12
"52",2007-12-24,"Kitchen",23215,2007,12
"53",2007-12-31,"Kitchen",8911,2007,12
"54",2008-01-07,"Kitchen",19314.5,2008,1
"55",2008-01-14,"Kitchen",14199,2008,1
"56",2008-01-21,"Kitchen",15543,2008,1
"57",2008-01-28,"Kitchen",12732.5,2008,1
"58",2008-02-04,"Kitchen",9925,2008,2
"59",2008-02-11,"Kitchen",12224,2008,2
"60",2008-02-18,"Kitchen",9141,2008,2
"61",2008-02-25,"Kitchen",0,2008,2
"62",2008-03-03,"Kitchen",13604,2008,3
"63",2008-03-10,"Kitchen",13587,2008,3
"64",2008-03-17,"Kitchen",16381,2008,3
"65",2008-03-24,"Kitchen",19538,2008,3
"66",2008-03-31,"Kitchen",10791,2008,3
"67",2008-04-07,"Kitchen",17445,2008,4
"68",2008-04-14,"Kitchen",11254,2008,4
"69",2008-04-21,"Kitchen",5131,2008,4
