country,cluster,date,expenses,expenses_1,expenses_2,expenses_3,expenses_4,expenses_5,expenses_6,month,year,quarter,num_working_days,num_days,n_mondays,n_tuesdays,n_wednesdays,n_thursdays,n_friday,last_day,months_from_launch_date,gross_price,net_price,month_in_quarter,volume
Country_a,Product_1,2012-01-01,-1089000,-306000,0,0,-402000,0,-381000,1,12,1,21,31,4,5,4,4,4,2,23,29.978021978022,27.4204522588523,1,92137.5
Country_a,Product_1,2012-02-01,-1312500,-471000,0,0,-333000,0,-508500,2,12,1,20,29,3,4,5,4,4,3,24,30.7926421404683,27.9943899665552,2,67275
Country_a,Product_1,2012-03-01,-1494000,-507000,0,0,-394500,0,-592500,3,12,1,22,31,4,4,4,5,5,5,25,30.964161849711,29.1627815028902,3,77850
Country_a,Product_1,2012-04-01,-1138500,-148500,0,0,-403500,0,-586500,4,12,2,20,30,5,4,4,4,3,1,26,34.3019830028328,32.8840654390935,1,79425
Country_a,Product_1,2012-05-01,-1804500,-576000,0,0,-369000,0,-859500,5,12,2,22,31,3,5,5,5,4,4,27,31.3041509433963,31.036103899371,2,89437.5
Country_a,Product_1,2012-06-01,-1408500,-402000,0,0,-339000,0,-667500,6,12,2,21,30,4,4,4,4,5,5,28,31.8857142857144,31.7402711640212,3,85050
Country_a,Product_1,2012-07-01,-1267500,-373500,0,0,-351000,0,-543000,7,12,3,21,31,4,5,4,4,4,2,29,31.5622911694511,30.8865797136038,1,94275
Country_a,Product_1,2012-08-01,-1260000,-237000,0,0,-381000,0,-642000,8,12,3,22,31,3,4,5,5,5,5,30,31.730477117819,31.1902802336904,2,115537.5
Country_a,Product_1,2012-09-01,-1710000,-555000,0,0,-471000,0,-684000,9,12,3,19,30,3,4,4,4,4,5,31,31.3515463917527,30.7193139175259,3,87300
Country_a,Product_1,2012-10-01,-2496000,-939000,0,0,-483000,0,-1074000,10,12,4,22,31,4,5,5,4,4,3,32,34.2078260869566,33.2930026086957,1,103500
Country_a,Product_1,2012-11-01,-2163000,-492000,0,0,-480000,0,-1191000,11,12,4,22,30,4,4,4,5,5,5,33,30.6875331564987,30.8658022988507,2,127237.5
Country_a,Product_1,2012-12-01,-2440500,-769500,0,0,-712500,0,-958500,12,12,4,15,31,3,3,3,3,3,5,34,32.0811989100818,25.7783765667575,3,82575
