country,cluster,date,upper_bound,forecast,lower_bound
Country_b,Product_33,2018-12-01,450687622.914292,392166442.921195,340853686.576208
Country_f,Product_20,2018-04-01,4329516.97136955,3856811.9657442,3415801.84391163
Country_g,Product_3,2018-07-01,1319173.82578114,1044834.49067854,762368.621552052
Country_a,Product_31,2018-11-01,0,0,0
Country_d,Product_61,2017-11-01,483929203.825933,456276532.359475,428270218.610321
Country_c,Product_44,2018-06-01,733846.644804143,708426.513545297,679620.339063813
Country_d,Product_20,2019-06-01,6301880.02271668,5951356.64640406,5619678.08311237
Country_f,Product_73,2019-05-01,565564765.941624,416696055.299697,263227241.723748
Country_i,Product_22,2018-11-01,6760.77127522783,3974.0861086518,1266.12057555548
Country_h,Product_11,2019-02-01,2848828.19207035,2488319.91909973,2122106.75234046
Country_e,Product_34,2019-04-01,75877206.4801441,28041093.8836277,0
Country_e,Product_71,2018-02-01,3181.47925076993,2613.28932590693,2069.5798361385
Country_h,Product_53,2018-04-01,688288.270525306,623317.510980435,557389.138373397
Country_j,Product_13,2018-10-01,102029233.998587,79516015.9635605,55417763.0358505
Country_c,Product_46,2018-09-01,1081312821.95135,488097876.046505,0
Country_i,Product_90,2017-08-01,2012830817.80786,1733776300.09185,1446558328.49033
Country_e,Product_3,2017-12-01,277163.567067534,273044.082362097,268921.753773217
Country_f,Product_71,2017-09-01,215700.845479921,185839.280058369,155378.026488391
Country_e,Product_43,2019-01-01,51068765.5903813,40864424.8234979,31063319.5355308
Country_i,Product_22,2018-12-01,7767.5820018624,4970.42955647425,2130.93568622357
Country_g,Product_72,2018-05-01,488957095.220672,463874098.520353,439557045.426677
Country_j,Product_28,2018-01-01,3951672.86591796,3369827.74507465,2731284.39309626
Country_h,Product_88,2019-05-01,167240.25555216,64978.1703556518,0
Country_i,Product_32,2018-11-01,10387532.1896164,7664507.76519199,4969215.01075023
Country_h,Product_10,2018-02-01,3821.23130207229,2704.57944043151,1465.27319121492
Country_f,Product_52,2019-02-01,18227375.926103,16616563.3183396,14889682.7893666
Country_e,Product_42,2017-09-01,70855738.8845248,61413198.7960319,51721744.835539
Country_f,Product_34,2018-02-01,1244158663.17689,860032756.872611,466257673.741958
Country_h,Product_18,2018-12-01,9804.32476141063,9384.02184738142,8924.63599421646
Country_f,Product_16,2018-01-01,2396704.84889882,2204195.11397705,2006832.08022335
Country_e,Product_18,2019-04-01,468.423492981578,398.177400547457,319.859937689887
